platform,video_id,url,title_caption,hashtags,views,likes,comments,engagement_score,creator,download_path,scraped_at
tiktok,7631382773332184328,https://www.tiktok.com/@elaboub/video/7631382773332184328?q=%23%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8&t=1781980699359,هذا فيديو كاريكاتوري ساخر يقدّم شخصية عمي عزيز في مشهد فكاهي مبالغ في...,,346500,4110,298,4408,elaboub,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7631382773332184328.mp4,2026-06-21 19:38:27.516012
tiktok,7631382773332184328,https://www.tiktok.com/@elaboub/video/7631382773332184328?q=%23%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8&t=1781980699359,هذا فيديو كاريكاتوري ساخر يقدّم شخصية عمي عزيز في مشهد فكاهي مبالغ في...,,346500,4110,298,4408,elaboub,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7631382773332184328.mp4,2026-06-21 19:38:29.611444
tiktok,7653458044382170375,https://www.tiktok.com/@norazii/video/7653458044382170375?_r=1&_t=ZS-97NORS7Clvw,Excitedd for Moroccoooo🇲🇦🥳 few dayyss!!,,44800,3654,111,3765,norazii,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653458044382170375.mp4,2026-06-21 19:38:36.784775
tiktok,7651365089995574548,https://www.tiktok.com/@nouamanes/video/7651365089995574548?_r=1&_t=ZS-97NOMWEPpJM,Ana mamsalich!! #fyp #viral #morocco #فوريو #فايرل ,,35000,3608,22,3630,nouamanes,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7651365089995574548.mp4,2026-06-21 19:38:35.106946
tiktok,7650864995139374356,https://www.tiktok.com/@talyanihmed/video/7650864995139374356?_r=1&_t=ZS-97NOOWocKqy,باغي لفلوس سير البانك أنا ماشي بانك 😂😂😂 #morocco🇲🇦 #fronce🇫🇷  #aljiri...,,156200,3300,289,3589,talyanihmed,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7650864995139374356.mp4,2026-06-21 19:38:35.668109
tiktok,7651220164352019732,https://www.tiktok.com/@ifrane_city_23/video/7651220164352019732?_r=1&_t=ZS-97NOI285JPZ,#ifrane_maroc #ifranemorocco❤️🇲🇦 #alakhawaynuniversity #aui #شعب_الصي...,,66200,2603,34,2637,ifrane_city_23,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7651220164352019732.mp4,2026-06-21 19:38:34.536283
tiktok,7653476818741153056,https://www.tiktok.com/@agadutchie.ai/video/7653476818741153056,Who wins? Morocco - Haiti #fyp #viral #pourtoiii #trending #worldcup2...,,7419,2367,15,2382,agadutchie.ai,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653476818741153056.mp4,2026-06-21 19:38:25.659407
tiktok,7651059444901547271,https://www.tiktok.com/@anass.tehami/video/7651059444901547271?_r=1&_t=ZS-97NIOvS5xB6,😂🫶 #music #pyfツ #tiktok #morroco🇲🇦 #explore ,,53800,2210,17,2227,anass.tehami,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7651059444901547271.mp4,2026-06-21 19:38:30.789215
tiktok,7653319899921599766,https://www.tiktok.com/@tetuan4life/video/7653319899921599766?q=%23maghreb&t=1781979363763,Let’s go!  . . . . #maroc #maghreb #morocco #boston #worldcup26 ,,32400,2163,26,2189,tetuan4life,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653319899921599766.mp4,2026-06-21 19:38:23.905515
tiktok,7653500573970468103,https://www.tiktok.com/@khojodhensity/video/7653500573970468103?q=%23morocco&t=1781979055293,🇲🇦 Stonebwoy has officially landed in Morocco! 🔥 The journey to the s...,,6313,1911,40,1951,khojodhensity,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653500573970468103.mp4,2026-06-21 19:38:18.095362
tiktok,7653513856118983968,https://www.tiktok.com/@aziz_aboudrar/video/7653513856118983968?q=%23maroc%20&t=1781978847953,Maroc 🇲🇦 1-0 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Ecosse : Azizinho Abrizili au micro 🎙️ ,,17200,1276,86,1362,aziz_aboudrar,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653513856118983968.mp4,2026-06-21 19:38:17.536939
tiktok,7635739712183242005,https://www.tiktok.com/@kawreviewsagadir/video/7635739712183242005?_r=1&_t=ZS-97NOTahYfKv,"📍Juliad,Agadir bay @café restaurant julia-d  #agadir #frypgシ #morocco...",,55800,1268,13,1281,kawreviewsagadir,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7635739712183242005.mp4,2026-06-21 19:38:37.408342
tiktok,7653514181773217044,https://www.tiktok.com/@ice.mohny/video/7653514181773217044?q=%23morocco&t=1781979055293,Morocco ways #fyp #foryou #goviral #trending #stonebwoy ,,1576,513,26,539,ice.mohny,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653514181773217044.mp4,2026-06-21 19:38:19.139575
tiktok,7653060304577809671,https://www.tiktok.com/@parkabla2201/video/7653060304577809671?is_from_webapp=1&sender_device=pc&web_id=7653540710604441089,Dima moroccoooooo🇲🇦✨ #اكسبلور #viral #explore #trending #tiktok ,,12800,401,13,414,parkabla2201,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653060304577809671.mp4,2026-06-21 19:38:16.718082
tiktok,7653300959640112391,https://www.tiktok.com/@ayatt.ma/video/7653300959640112391?q=%23%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8&t=1781980699359,و بقا فيا الحااال🤣🔥 #اكسبلور #fyp #المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿 #المغرب #e...,,6246,392,15,407,ayatt.ma,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653300959640112391.mp4,2026-06-21 19:38:26.926355
tiktok,7653300959640112391,https://www.tiktok.com/@ayatt.ma/video/7653300959640112391?q=%23%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8&t=1781980699359,و بقا فيا الحااال🤣🔥 #اكسبلور #fyp #المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿 #المغرب #e...,,6246,392,15,407,ayatt.ma,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653300959640112391.mp4,2026-06-21 19:38:28.915648
tiktok,7287696837358800160,https://www.tiktok.com/@dhak_wbki_man_9albk/video/7287696837358800160?q=%23darijamaroc&t=1781979231063,🤣🤣🤣 #sbitar_lmhabel #moutdyaldahk #darija #dahk_maroc #tmout_bdahk🤣 #...,,28100,373,11,384,dhak_wbki_man_9albk,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7287696837358800160.mp4,2026-06-21 19:38:23.351662
tiktok,7287696837358800160,https://www.tiktok.com/@dhak_wbki_man_9albk/video/7287696837358800160?q=%23darijamaroc&t=1781979231063,🤣🤣🤣 #sbitar_lmhabel #moutdyaldahk #darija #dahk_maroc #tmout_bdahk🤣 #...,,28100,373,11,384,dhak_wbki_man_9albk,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7287696837358800160.mp4,2026-06-21 19:38:30.214008
tiktok,7653228028339735825,https://www.tiktok.com/@abiireddouiri/video/7653228028339735825?q=%23maghreb&t=1781979363763,#worldcup #morocco🇲🇦 #dimamaghrib ,,1346,96,7,103,abiireddouiri,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653228028339735825.mp4,2026-06-21 19:38:24.431304
tiktok,7653222648134094101,https://www.tiktok.com/@aaliworldcup/video/7653222648134094101,Dima Maghrib🇲🇦 #morocco #trend #inspiredawesomelife #creatorsearchins...,,1815,80,5,85,aaliworldcup,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653222648134094101.mp4,2026-06-21 19:38:15.585546
tiktok,7629014562406206728,https://www.tiktok.com/@northmoroccol/video/7629014562406206728?q=%23morocco&t=1781979055293,طنجة #tangier #morocco #explore #creaselighteningcream ,,11300,80,1,81,northmoroccol,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7629014562406206728.mp4,2026-06-21 19:38:18.648694
tiktok,7611230328870407432,https://www.tiktok.com/@morocoo.core/video/7611230328870407432?q=%23darijamaroc&t=1781979231063,#darijamorocoo #morocoo #darijamarocaine #morocoo #شعب_الصيني_ماله_حل😂😂 ,,2180,60,3,63,morocoo.core,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7611230328870407432.mp4,2026-06-21 19:38:21.116451
tiktok,7653407325046377735,https://www.tiktok.com/@mhannad.rachid/video/7653407325046377735?is_from_webapp=1&sender_device=pc&web_id=7653540710604441089,u are in morocco trend#WhatToWatch #seriestowatch #remix ,,827,22,1,23,mhannad.rachid,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7653407325046377735.mp4,2026-06-21 19:38:16.211983
tiktok,7470149568609586454,https://www.tiktok.com/@.morocco._/video/7470149568609586454?q=%23morocco&t=1781979055293,#mrokko🇲🇦🇲🇦🇲🇦 #marocaine🇲🇦 #🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦 ,,520,3,0,3,.morocco._,/content/drive/MyDrive/morocco_trends/downloads/tiktok/7470149568609586454.mp4,2026-06-21 19:38:19.721849
